# QUIET Second Season Result (Jul. 20th, 2012)
# ML pipeline: these results correspond to Figures 4-6 and Table 3 of arXiv:1207.5034v1 [astro-ph.CO].
#
#  Here we tabulate the bandpowers for the EE, BB, and EB power spectra from ML pipeline.
#  The upper and lower errorbars for the spectrum XX are denoted +dXX and -dXX, respectively.
#  Columns of (EE/q, +dEE/q, -dEE/q) gives the EE spectrum shape normalized to q=1.
#
# lmin	lmax	EE	+dEE	-dEE	EE/q	+dEE/q	-dEE/q	BB	+dBB	-dBB	EB	+dEB	-dEB	BB 95% U.L.
26	75	0.28	0.17	-0.14	0.21	0.13	-0.11	-0.08	0.10	-0.08	0.07	0.03	-0.04	0.19
76	125	1.06	0.24	-0.21	0.78	0.18	-0.16	0.26	0.15	-0.14	-0.04	0.11	-0.11	0.55
126	175	1.80	0.35	-0.32	1.34	0.26	-0.23	-0.25	0.16	-0.14	0.12	0.16	-0.16	0.23
176	225	0.93	0.37	-0.33	0.69	0.28	-0.25	0.53	0.31	-0.28	0.13	0.22	-0.22	1.09
226	275	3.5	0.7	-0.6	2.6	0.5	-0.4	-0.59	0.37	-0.34	0.11	0.33	-0.34	0.52
276	325	13.5	1.3	-1.3	10.0	1.0	-1.0	-0.4	0.6	-0.5	-0.1	0.6	-0.6	1.0
326	375	24.8	2.0	-2.1	18.3	1.5	-1.5	-0.5	0.7	-0.7	2.3	0.8	-0.9	1.2
376	425	30.6	2.6	-2.4	22.7	1.9	-1.8	-0.1	1.0	-1.0	1.2	1.1	-1.1	2.1
426	475	19.8	2.3	-2.4	14.7	1.7	-1.8	1.6	1.5	-1.4	1.8	1.3	-1.3	4.4
476	525	15.5	2.7	-2.6	11.5	2.0	-1.9	-0.1	1.9	-1.8	0.9	1.6	-1.6	4.0
526	575	14.1	3.3	-3.1	10.5	2.4	-2.3	4.2	2.8	-2.7	0.3	2.0	-2.0	9.2
576	625	24.7	4.5	-4.3	18.3	3.3	-3.2	3.8	3.7	-3.5	3.4	2.7	-2.8	10.5
626	675	49	7	-7	36	5	-5	9.2	5.2	-4.9	7.8	4.1	-4.0	18.3
676	725	40	8	-8	30	6	-6	3	7	-6	1	5	-5	16
726	775	25	10	-10	18	7	-7	-8	9	-8	3	6	-6	13
776	825	20	14	-13	15	10	-10	7	13	-12	-19	9	-9	31
826	875	-9	17	-16	-7	13	-12	10	18	-17	15	12	-12	44
876	925	93	29	-28	69	21	-21	46	27	-26	4	19	-19	93
926	975	35	39	-37	26	29	-27	-52	35	-33	0	25	-25	44
